FIPS,County,State
12001,Alachua,FL
12003,Baker,FL
12005,Bay,FL
12007,Bradford,FL
12009,Brevard,FL
12011,Broward,FL
12013,Calhoun,FL
12015,Charlotte,FL
12017,Citrus,FL
12019,Clay,FL
12021,Collier,FL
12023,Columbia,FL
12027,De Soto,FL
12029,Dixie,FL
12031,Duval,FL
12033,Escambia,FL
12035,Flagler,FL
12037,Franklin,FL
12039,Gadsden,FL
12041,Gilchrist,FL
12043,Glades,FL
12045,Gulf,FL
12047,Hamilton,FL
12049,Hardee,FL
12051,Hendry,FL
12053,Hernando,FL
12055,Highlands,FL
12057,Hillsborough,FL
12059,Holmes,FL
12061,Indian River,FL
12063,Jackson,FL
12065,Jefferson,FL
12067,Lafayette,FL
12069,Lake,FL
12071,Lee,FL
12073,Leon,FL
12075,Levy,FL
12077,Liberty,FL
12079,Madison,FL
12081,Manatee,FL
12083,Marion,FL
12085,Martin,FL
12086,Miami-Dade,FL
12087,Monroe,FL
12089,Nassau,FL
12091,Okaloosa,FL
12093,Okeechobee,FL
12095,Orange,FL
12097,Osceola,FL
12099,Palm Beach,FL
12101,Pasco,FL
12103,Pinellas,FL
12105,Polk,FL
12107,Putnam,FL
12109,St Johns,FL
12111,St Lucie,FL
12113,Santa Rosa,FL
12115,Sarasota,FL
12117,Seminole,FL
12119,Sumter,FL
12121,Suwannee,FL
12123,Taylor,FL
12125,Union,FL
12127,Volusia,FL
12129,Wakulla,FL
12131,Walton,FL
12133,Washington,FL
